"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"BAIAP2L1"	"Q9UHR4"	"Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1"	"BAIAP2L1"	"BAIAP2L1"
"BAK1"	"Q16611;Q16611-2"	"Bcl-2 homologous antagonist/killer"	"BAK1"	"BAK1"
"BANF1"	"O75531"	"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed"	"BANF1"	"BANF1"
"BANP"	"Q8N9N5-3;Q8N9N5-6;Q8N9N5-2;Q8N9N5-4;Q8N9N5-5;Q8N9N5-7;Q8N9N5"	"Protein BANP"	"BANP"	"BANP"
"BAP18"	"Q8IXM2;Q8IXM2-3"	"Chromatin complexes subunit BAP18"	"BAP18"	"BAP18"
"BASP1"	"P80723;P80723-2"	"Brain acid soluble protein 1"	"BASP1"	"BASP1"
"BAX"	"Q07812-5;Q07812-8;Q07812;Q07812-2;Q07812-7;Q07812-6;Q07812-4"	"Apoptosis regulator BAX"	"BAX"	"BAX"
"BAZ1A"	"Q9NRL2;Q9NRL2-2"	"Bromodomain adjacent to zinc finger domain protein 1A"	"BAZ1A"	"BAZ1A"
"BAZ1B"	"Q9UIG0-2;Q9UIG0"	"Tyrosine-protein kinase BAZ1B"	"BAZ1B"	"BAZ1B"
"BAZ2A"	"Q9UIF9-2;Q9UIF9-3;Q9UIF9"	"Bromodomain adjacent to zinc finger domain protein 2A"	"BAZ2A"	"BAZ2A"
"BBC3"	"Q9BXH1;Q9BXH1-2"	"Bcl-2-binding component 3"	"BBC3"	"BBC3"
"BBOX1"	"O75936"	"Gamma-butyrobetaine dioxygenase"	"BBOX1"	"BBOX1"
"BBS1"	"Q8NFJ9-3;Q8NFJ9;Q8NFJ9-2"	"Bardet-Biedl syndrome 1 protein"	"BBS1"	"BBS1"
"BCAM"	"P50895"	"Basal cell adhesion molecule"	"BCAM"	"BCAM"
"BCAP31"	"P51572;P51572-2"	"B-cell receptor-associated protein 31"	"BCAP31"	"BCAP31"
"BCAR1"	"P56945-5;P56945-8;P56945;P56945-7;P56945-3;P56945-2;P56945-6;P56945-4"	"Breast cancer anti-estrogen resistance protein 1"	"BCAR1"	"BCAR1"
"BCAR3"	"O75815-2;O75815-3;O75815"	"Breast cancer anti-estrogen resistance protein 3"	"BCAR3"	"BCAR3"
"BCAS1"	"O75363;O75363-2"	"Breast carcinoma-amplified sequence 1"	"BCAS1"	"BCAS1"
"BCAS2"	"O75934"	"Pre-mRNA-splicing factor SPF27"	"BCAS2"	"BCAS2"
"BCAS3"	"Q9H6U6-7;Q9H6U6-3;Q9H6U6-8;Q9H6U6-6;Q9H6U6-2;Q9H6U6"	"Breast carcinoma-amplified sequence 3"	"BCAS3"	"BCAS3"
"BCAT2"	"O15382;O15382-2"	"Branched-chain-amino-acid aminotransferase, mitochondrial"	"BCAT2"	"BCAT2"
"BCCIP"	"Q9P287;Q9P287-4;Q9P287-3;Q9P287-2"	"BRCA2 and CDKN1A-interacting protein"	"BCCIP"	"BCCIP"
"BCKDHA"	"P12694;P12694-2"	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	"BCKDHA"	"BCKDHA"
"BCKDHB"	"P21953;P21953-2"	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	"BCKDHB"	"BCKDHB"
"BCKDK"	"O14874-2;O14874-3;O14874"	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"	"BCKDK"	"BCKDK"
"BCL10"	"O95999"	"B-cell lymphoma/leukemia 10"	"BCL10"	"BCL10"
"BCL2"	"P10415-2;P10415"	"Apoptosis regulator Bcl-2"	"BCL2"	"BCL2"
"BCL2L13"	"Q9BXK5;Q9BXK5-2;Q9BXK5-4"	"Bcl-2-like protein 13"	"BCL2L13"	"BCL2L13"
"BCL3"	"P20749"	"B-cell lymphoma 3 protein"	"BCL3"	"BCL3"
"BCL6"	"P41182-2;P41182"	"B-cell lymphoma 6 protein"	"BCL6"	"BCL6"
"BCL7C"	"Q8WUZ0;Q8WUZ0-2;Q9BQE9-4;Q9BQE9-3;Q9BQE9;Q4VC05;Q4VC05-2"	"B-cell CLL/lymphoma 7 protein family member C"	"BCL7C"	"BCL7C"
"BCL9L"	"Q86UU0-4;Q86UU0-2;Q86UU0;Q86UU0-3"	"B-cell CLL/lymphoma 9-like protein"	"BCL9L"	"BCL9L"
"BCLAF1"	"Q9NYF8-2;Q9NYF8;Q9NYF8-4;Q9NYF8-3"	"Bcl-2-associated transcription factor 1"	"BCLAF1"	"BCLAF1"
"BCR"	"P11274-2;P11274"	"Breakpoint cluster region protein"	"BCR"	"BCR"
"BCS1L"	"Q9Y276"	"Mitochondrial chaperone BCS1"	"BCS1L"	"BCS1L"
"BDH1"	"Q02338"	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"	"BDH1"	"BDH1"
"BDH2"	"Q9BUT1;Q9BUT1-2;Q9BUT1-3"	"3-hydroxybutyrate dehydrogenase type 2"	"BDH2"	"BDH2"
"BECN1"	"Q14457"	"Beclin-1"	"BECN1"	"BECN1"
"BEND7"	"Q8N7W2;Q8N7W2-2;Q8N7W2-3"	"BEN domain-containing protein 7"	"BEND7"	"BEND7"
"BET1L"	"Q9NYM9"	"BET1-like protein"	"BET1L"	"BET1L"
"BGLAP"	"P84351;P02818"	"Osteocalcin"	"BGLAP"	"BGLAP"
"BHLHA15"	"Q7RTS1"	"Class A basic helix-loop-helix protein 15"	"BHLHA15"	"BHLHA15"
"BICD2"	"Q8TD16;Q8TD16-2"	"Protein bicaudal D homolog 2"	"BICD2"	"BICD2"
"BID"	"P55957;P55957-2;P55957-4;P55957-3"	"BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11"	"BID"	"BID"
"BIN1"	"O00499-9;O00499-10;O00499-7;O00499-8;O00499-4;O00499-6;O00499-11;O00499-3;O00499-2;O00499-5;O00499"	"Myc box-dependent-interacting protein 1"	"BIN1"	"BIN1"
"BIN3"	"Q9NQY0;Q9NQY0-2"	"Bridging integrator 3"	"BIN3"	"BIN3"
"BIRC6"	"Q9NR09"	"Baculoviral IAP repeat-containing protein 6"	"BIRC6"	"BIRC6"
"BLMH"	"Q13867"	"Bleomycin hydrolase"	"BLMH"	"BLMH"
"BLOC1S1"	"P78537-2;P78537"	"Biogenesis of lysosome-related organelles complex 1 subunit 1"	"BLOC1S1"	"BLOC1S1"
"BLOC1S2"	"Q6QNY1"	"Biogenesis of lysosome-related organelles complex 1 subunit 2"	"BLOC1S2"	"BLOC1S2"
"BLOC1S3"	"Q6QNY0"	"Biogenesis of lysosome-related organelles complex 1 subunit 3"	"BLOC1S3"	"BLOC1S3"
"BLOC1S4"	"Q9NUP1"	"Biogenesis of lysosome-related organelles complex 1 subunit 4"	"BLOC1S4"	"BLOC1S4"
"BLOC1S6"	"Q9UL45;Q9UL45-2"	"Biogenesis of lysosome-related organelles complex 1 subunit 6"	"BLOC1S6"	"BLOC1S6"
"BLVRA"	"P53004"	"Biliverdin reductase A"	"BLVRA"	"BLVRA"
"BLVRB"	"P30043"	"Flavin reductase (NADPH)"	"BLVRB"	"BLVRB"
"BMP2K"	"Q9NSY1;Q9NSY1-2;Q9NSY1-3"	"BMP-2-inducible protein kinase"	"BMP2K"	"BMP2K"
"BMS1"	"Q14692"	"Ribosome biogenesis protein BMS1 homolog"	"BMS1"	"BMS1"
"BNIP1"	"Q12981;Q12981-1;Q12981-2;Q12981-3"	"Vesicle transport protein SEC20"	"BNIP1"	"BNIP1"
"BOD1L1"	"Q8NFC6"	"Biorientation of chromosomes in cell division protein 1-like 1"	"BOD1L1"	"BOD1L1"
"BOK"	"Q9UMX3"	"Bcl-2-related ovarian killer protein"	"BOK"	"BOK"
"BOLA1"	"Q9Y3E2"	"BolA-like protein 1"	"BOLA1"	"BOLA1"
"BOLA2"	"Q9H3K6;Q9H3K6-2"	"BolA-like protein 2"	"BOLA2"	"BOLA2"
"BOP1"	"Q14137-2;Q14137"	"Ribosome biogenesis protein BOP1"	"BOP1"	"BOP1"
"BPGM"	"P07738"	"Bisphosphoglycerate mutase"	"BPGM"	"BPGM"
"BPHL"	"Q86WA6-2;Q86WA6"	"Valacyclovir hydrolase"	"BPHL"	"BPHL"
"BPNT1"	"O95861;O95861-2;O95861-4;O95861-3"	"3(2),5-bisphosphate nucleotidase 1"	"BPNT1"	"BPNT1"
"BPTF"	"Q12830-4;Q12830-2;Q12830"	"Nucleosome-remodeling factor subunit BPTF"	"BPTF"	"BPTF"
"BRAF"	"P15056"	"Serine/threonine-protein kinase B-raf"	"BRAF"	"BRAF"
"BRAT1"	"Q6PJG6;Q6PJG6-2"	"BRCA1-associated ATM activator 1"	"BRAT1"	"BRAT1"
"BRCC3"	"P46736-2;P46736-3;P46736;P46736-4;P46736-5"	"Lys-63-specific deubiquitinase BRCC36"	"BRCC3"	"BRCC3"
"BRD2"	"P25440;P25440-2;P25440-4"	"Bromodomain-containing protein 2"	"BRD2"	"BRD2"
"BRD3"	"Q15059;Q15059-2"	"Bromodomain-containing protein 3"	"BRD3"	"BRD3"
"BRD4"	"O60885;O60885-2;O60885-3"	"Bromodomain-containing protein 4"	"BRD4"	"BRD4"
"BRD7"	"Q9NPI1;Q9NPI1-2"	"Bromodomain-containing protein 7"	"BRD7"	"BRD7"
"BRD8"	"Q9H0E9-2;Q9H0E9;Q9H0E9-4;Q9H0E9-3"	"Bromodomain-containing protein 8"	"BRD8"	"BRD8"
"BRE"	"Q9NXR7-4;Q9NXR7-3;Q9NXR7;Q9NXR7-1"	"BRCA1-A complex subunit BRE"	"BRE"	"BRE"
"BRI3BP"	"Q8WY22"	"BRI3-binding protein"	"BRI3BP"	"BRI3BP"
"BRIX1"	"Q8TDN6"	"Ribosome biogenesis protein BRX1 homolog"	"BRIX1"	"BRIX1"
"BRK1"	"Q8WUW1;Q8WUW1-2"	"Protein BRICK1"	"BRK1"	"BRK1"
"BROX"	"Q5VW32;Q5VW32-2"	"BRO1 domain-containing protein BROX"	"BROX"	"BROX"
"BRPF1"	"P55201-4;P55201-3;P55201;P55201-2;Q9ULD4-3;Q9ULD4-2;Q9ULD4"	"Peregrin"	"BRPF1"	"BRPF1"
"BSCL2"	"Q96G97;Q96G97-3"	"Seipin"	"BSCL2"	"BSCL2"
"BSDC1"	"Q9NW68-2;Q9NW68;Q9NW68-7;Q9NW68-3;Q9NW68-8;Q9NW68-9;Q9NW68-5;Q9NW68-4"	"BSD domain-containing protein 1"	"BSDC1"	"BSDC1"
"BSG"	"P35613-3"	"Basigin"	"BSG"	"BSG"
"BSPRY"	"Q5W0U4;Q5W0U4-2"	"B box and SPRY domain-containing protein"	"BSPRY"	"BSPRY"
"BST2"	"Q10589-2;Q10589"	"Bone marrow stromal antigen 2"	"BST2"	"BST2"
"BTAF1"	"O14981;O14981-2"	"TATA-binding protein-associated factor 172"	"BTAF1"	"BTAF1"
"BTBD11"	"A6QL63-2;A6QL63;A6QL63-3;A6QL63-4;A6QL63-5"	"Ankyrin repeat and BTB/POZ domain-containing protein BTBD11"	"BTBD11"	"BTBD11"
"BTD"	"P43251-4;P43251;P43251-3;P43251-2"	"Biotinidase"	"BTD"	"BTD"
"BTF3"	"P20290"	"Transcription factor BTF3"	"BTF3"	"BTF3"
"BTF3L4"	"Q96K17;Q96K17-2"	"Transcription factor BTF3 homolog 4"	"BTF3L4"	"BTF3L4"
"BUB3"	"O43684-2;O43684"	"Mitotic checkpoint protein BUB3"	"BUB3"	"BUB3"
"BUD31"	"P41223;P41223-2"	"Protein BUD31 homolog"	"BUD31"	"BUD31"
"BYSL"	"Q13895"	"Bystin"	"BYSL"	"BYSL"
"BZW1"	"Q7L1Q6;Q7L1Q6-4;Q7L1Q6-3;Q7L1Q6-2"	"Basic leucine zipper and W2 domain-containing protein 1"	"BZW1"	"BZW1"
"BZW2"	"Q9Y6E2;Q9Y6E2-2"	"Basic leucine zipper and W2 domain-containing protein 2"	"BZW2"	"BZW2"
"C10orf35"	"Q96D05;Q96D05-2"	"Uncharacterized protein C10orf35"	"C10orf35"	"C10orf35"
"C10orf76"	"Q5T2E6;Q5T2E6-2"	"UPF0668 protein C10orf76"	"C10orf76"	"C10orf76"
"C11orf54"	"Q9H0W9;Q9H0W9-2;Q9H0W9-3;Q9H0W9-4"	"Ester hydrolase C11orf54"	"C11orf54"	"C11orf54"
"C11orf68"	"Q9H3H3-2;Q9H3H3;Q9H3H3-3"	"UPF0696 protein C11orf68"	"C11orf68"	"C11orf68"
"C11orf73"	"Q53FT3"	"Protein Hikeshi"	"C11orf73"	"C11orf73"
"C12orf10"	"Q9HB07"	"UPF0160 protein MYG1, mitochondrial"	"C12orf10"	"C12orf10"
"C12orf43"	"Q96C57"	"Uncharacterized protein C12orf43"	"C12orf43"	"C12orf43"
"C12orf57"	"Q99622"	"Protein C10"	"C12orf57"	"C12orf57"
"C14orf142"	"Q9BXV9"	"Uncharacterized protein C14orf142"	"C14orf142"	"C14orf142"
"C14orf159"	"Q7Z3D6-2;Q7Z3D6-4;Q7Z3D6-3;Q7Z3D6;Q7Z3D6-5;Q7Z3D6-6"	"UPF0317 protein C14orf159, mitochondrial"	"C14orf159"	"C14orf159"
"C14orf166"	"Q9Y224"	"UPF0568 protein C14orf166"	"C14orf166"	"C14orf166"
"C15orf40"	"Q8WUR7;Q8WUR7-2;Q8WUR7-3"	"UPF0235 protein C15orf40"	"C15orf40"	"C15orf40"
"C15orf52"	"Q6ZUT6;Q6ZUT6-4;Q6ZUT6-2;Q6ZUT6-3"	"Uncharacterized protein C15orf52"	"C15orf52"	"C15orf52"
"C16orf13"	"Q96S19;Q96S19-3;Q96S19-5;Q96S19-6;Q96S19-4;Q96S19-2"	"UPF0585 protein C16orf13"	"C16orf13"	"C16orf13"
"C16orf58"	"Q96GQ5;Q96GQ5-2"	"RUS1 family protein C16orf58"	"C16orf58"	"C16orf58"
"C16orf62"	"Q7Z3J2;Q7Z3J2-2"	"UPF0505 protein C16orf62"	"C16orf62"	"C16orf62"
"C17orf59"	"Q96GS4"	"Uncharacterized protein C17orf59"	"C17orf59"	"C17orf59"
"C17orf75"	"Q9HAS0"	"Protein Njmu-R1"	"C17orf75"	"C17orf75"
"C17orf85"	"Q53F19;Q53F19-2"	"Uncharacterized protein C17orf85"	"C17orf85"	"C17orf85"
"C18orf25"	"Q96B23-2;Q96B23"	"Uncharacterized protein C18orf25"	"C18orf25"	"C18orf25"
"C18orf8"	"Q96DM3"	"Uncharacterized protein C18orf8"	"C18orf8"	"C18orf8"
"C19orf25"	"Q9UFG5;Q9UFG5-2"	"UPF0449 protein C19orf25"	"C19orf25"	"C19orf25"
"C19orf43"	"Q9BQ61"	"Uncharacterized protein C19orf43"	"C19orf43"	"C19orf43"
"C19orf52"	"Q9BSF4"	"Uncharacterized protein C19orf52"	"C19orf52"	"C19orf52"
"C19orf66"	"Q9NUL5-3;Q9NUL5-2;Q9NUL5-4;Q9NUL5"	"UPF0515 protein C19orf66"	"C19orf66"	"C19orf66"
"C1GALT1C1"	"Q96EU7"	"C1GALT1-specific chaperone 1"	"C1GALT1C1"	"C1GALT1C1"
"C1orf122"	"Q6ZSJ8;Q6ZSJ8-2"	"Uncharacterized protein C1orf122"	"C1orf122"	"C1orf122"
"C1orf123"	"Q9NWV4"	"UPF0587 protein C1orf123"	"C1orf123"	"C1orf123"
"C1orf198"	"Q9H425-3;Q9H425;Q9H425-2"	"Uncharacterized protein C1orf198"	"C1orf198"	"C1orf198"
"C1orf226"	"A1L170;A1L170-2"	"Uncharacterized protein C1orf226"	"C1orf226"	"C1orf226"
"C1orf50"	"Q9BV19"	"Uncharacterized protein C1orf50"	"C1orf50"	"C1orf50"
"C1QBP"	"Q07021"	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	"C1QBP"	"C1QBP"
"C1R"	"P00736"	"Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain"	"C1R"	"C1R"
"C21orf33"	"P30042;P30042-2"	"ES1 protein homolog, mitochondrial"	"C21orf33"	"C21orf33"
"C21orf59"	"P57076"	"UPF0769 protein C21orf59"	"C21orf59"	"C21orf59"
"C2CD2"	"Q9Y426-3;Q9Y426;Q9Y426-2"	"C2 domain-containing protein 2"	"C2CD2"	"C2CD2"
"C2CD2L"	"O14523;O14523-2"	"C2 domain-containing protein 2-like"	"C2CD2L"	"C2CD2L"
"C2CD5"	"Q86YS7;Q86YS7-3;Q86YS7-2;Q86YS7-4;Q86YS7-5"	"C2 domain-containing protein 5"	"C2CD5"	"C2CD5"
"C2orf16"	"Q68DN1"	"Uncharacterized protein C2orf16"	"C2orf16"	"C2orf16"
"C2orf43"	"Q9H6V9;Q9H6V9-2;Q9H6V9-4;Q9H6V9-3"	"UPF0554 protein C2orf43"	"C2orf43"	"C2orf43"
"C2orf47"	"Q8WWC4"	"Uncharacterized protein C2orf47, mitochondrial"	"C2orf47"	"C2orf47"
"C2orf49"	"Q9BVC5;Q9BVC5-2"	"Ashwin"	"C2orf49"	"C2orf49"
"C2orf88"	"Q9BSF0"	"Small membrane A-kinase anchor protein"	"C2orf88"	"C2orf88"
"C3"	"P01024"	"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"	"C3"	"C3"
"C3orf38"	"Q5JPI3-2;Q5JPI3"	"Uncharacterized protein C3orf38"	"C3orf38"	"C3orf38"
"C3orf58"	"Q8NDZ4;Q8NDZ4-2"	"Deleted in autism protein 1"	"C3orf58"	"C3orf58"
"C4A"	"P0C0L4;P0C0L4-2"	"Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain"	"C4A"	"C4A"
"C4B"	"P0C0L5"	"Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain"	"C4B"	"C4B"
"C4BPA"	"P04003"	"C4b-binding protein alpha chain"	"C4BPA"	"C4BPA"
"C4orf27"	"Q9NWY4"	"UPF0609 protein C4orf27"	"C4orf27"	"C4orf27"
"C5orf22"	"Q49AR2;Q49AR2-3;Q49AR2-2"	"UPF0489 protein C5orf22"	"C5orf22"	"C5orf22"
"C5orf24"	"Q7Z6I8;Q7Z6I8-2"	"UPF0461 protein C5orf24"	"C5orf24"	"C5orf24"
"C5orf51"	"A6NDU8"	"UPF0600 protein C5orf51"	"C5orf51"	"C5orf51"
"C6orf120"	"Q7Z4R8"	"UPF0669 protein C6orf120"	"C6orf120"	"C6orf120"
"C6orf132"	"Q5T0Z8"	"Uncharacterized protein C6orf132"	"C6orf132"	"C6orf132"
"C6orf136"	"Q5SQH8-2;Q5SQH8-3;Q5SQH8;Q5SQH8-4"	"Uncharacterized protein C6orf136"	"C6orf136"	"C6orf136"
"C6orf203"	"Q9P0P8"	"Uncharacterized protein C6orf203"	"C6orf203"	"C6orf203"
"C7orf50"	"Q9BRJ6"	"Uncharacterized protein C7orf50"	"C7orf50"	"C7orf50"
"C7orf55"	"Q96HJ9"	"UPF0562 protein C7orf55"	"C7orf55"	"C7orf55"
"C8orf33"	"Q9H7E9;Q9H7E9-2"	"UPF0488 protein C8orf33"	"C8orf33"	"C8orf33"
"C8orf4"	"Q9NR00"	"Uncharacterized protein C8orf4"	"C8orf4"	"C8orf4"
"C8orf82"	"Q6P1X6;Q6P1X6-2"	"UPF0598 protein C8orf82"	"C8orf82"	"C8orf82"
"C9orf114"	"Q5T280"	"Putative methyltransferase C9orf114"	"C9orf114"	"C9orf114"
"C9orf142"	"Q9BUH6;Q9BUH6-2"	"Protein PAXX"	"C9orf142"	"C9orf142"
"C9orf64"	"Q5T6V5"	"UPF0553 protein C9orf64"	"C9orf64"	"C9orf64"
"C9orf78"	"Q9NZ63"	"Uncharacterized protein C9orf78"	"C9orf78"	"C9orf78"
"C9orf89"	"Q96LW7-2;Q96LW7"	"Bcl10-interacting CARD protein"	"C9orf89"	"C9orf89"
"CA1"	"P00915"	"Carbonic anhydrase 1"	"CA1"	"CA1"
"CA12"	"O43570-2;O43570"	"Carbonic anhydrase 12"	"CA12"	"CA12"
"CA13"	"Q8N1Q1"	"Carbonic anhydrase 13"	"CA13"	"CA13"
"CA2"	"P00918"	"Carbonic anhydrase 2"	"CA2"	"CA2"
"CA3"	"P07451"	"Carbonic anhydrase 3"	"CA3"	"CA3"
"CA4"	"P22748"	"Carbonic anhydrase 4"	"CA4"	"CA4"
"CA8"	"P35219"	"Carbonic anhydrase-related protein"	"CA8"	"CA8"
"CAAP1"	"Q9H8G2-2;Q9H8G2"	"Caspase activity and apoptosis inhibitor 1"	"CAAP1"	"CAAP1"
"CAB39"	"Q9Y376"	"Calcium-binding protein 39"	"CAB39"	"CAB39"
"CAB39L"	"Q9H9S4"	"Calcium-binding protein 39-like"	"CAB39L"	"CAB39L"
"CABIN1"	"Q9Y6J0-2;Q9Y6J0"	"Calcineurin-binding protein cabin-1"	"CABIN1"	"CABIN1"
"CACNA2D1"	"P54289-5;P54289;P54289-4;P54289-2;P54289-3"	"Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1"	"CACNA2D1"	"CACNA2D1"
"CACTIN"	"Q8WUQ7;Q8WUQ7-2"	"Cactin"	"CACTIN"	"CACTIN"
"CACUL1"	"Q86Y37;Q86Y37-4;Q86Y37-2"	"CDK2-associated and cullin domain-containing protein 1"	"CACUL1"	"CACUL1"
"CACYBP"	"Q9HB71-3;Q9HB71"	"Calcyclin-binding protein"	"CACYBP"	"CACYBP"
"CAD"	"P27708"	"CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase"	"CAD"	"CAD"
"CADM1"	"Q9BY67-5;Q9BY67;Q9BY67-4;Q9BY67-3;Q9BY67-2"	"Cell adhesion molecule 1"	"CADM1"	"CADM1"
"CADM4"	"Q8NFZ8"	"Cell adhesion molecule 4"	"CADM4"	"CADM4"
"CADPS2"	"Q86UW7-2;Q86UW7-3;Q86UW7;Q9ULU8-2;Q9ULU8-3;Q9ULU8;Q9ULU8-4"	"Calcium-dependent secretion activator 2"	"CADPS2"	"CADPS2"
"CALB2"	"P22676;P05937-2;P05937"	"Calretinin"	"CALB2"	"CALB2"
"CALCOCO2"	"Q13137-4;Q13137-2;Q13137;Q13137-3;Q13137-5"	"Calcium-binding and coiled-coil domain-containing protein 2"	"CALCOCO2"	"CALCOCO2"
"CALD1"	"Q05682;Q05682-3;Q05682-2;Q05682-6;REV__Q13136-2;REV__Q13136"	"Caldesmon"	"CALD1"	"CALD1"
"CALM1"	"P62158"	"Calmodulin"	"CALM1"	"CALM1"
"CALML3"	"P27482"	"Calmodulin-like protein 3"	"CALML3"	"CALML3"
"CALML5"	"Q9NZT1"	"Calmodulin-like protein 5"	"CALML5"	"CALML5"
"CALR"	"P27797"	"Calreticulin"	"CALR"	"CALR"
"CALU"	"O43852;O43852-3;O43852-5;O43852-6;O43852-9;O43852-15;O43852-10;O43852-13;O43852-14;O43852-11;O43852-12"	"Calumenin"	"CALU"	"CALU"
"CAMK2B"	"Q13554;Q13554-7;Q13554-4;Q13554-3;Q13554-8;Q13554-5;Q13554-2;Q13554-6;Q9UQM7;Q9UQM7-2"	"Calcium/calmodulin-dependent protein kinase type II subunit beta"	"CAMK2B"	"CAMK2B"
"CAMK2D"	"Q13557-8;Q13557-12;Q13557-9;Q13557-10;Q13557-5;Q13557;Q13557-3;Q13557-6;Q13557-4;Q13557-11"	"Calcium/calmodulin-dependent protein kinase type II subunit delta"	"CAMK2D"	"CAMK2D"
"CAMK2G"	"Q13555-6;Q13555-5;Q13555-4;Q13555-2;Q13555-8;Q13555;Q13555-10;Q13555-3;Q13555-7;Q13555-9"	"Calcium/calmodulin-dependent protein kinase type II subunit gamma"	"CAMK2G"	"CAMK2G"
"CAMLG"	"P49069"	"Calcium signal-modulating cyclophilin ligand"	"CAMLG"	"CAMLG"
"CAMSAP1"	"Q5T5Y3-2;Q5T5Y3;Q5T5Y3-3"	"Calmodulin-regulated spectrin-associated protein 1"	"CAMSAP1"	"CAMSAP1"
"CAMSAP3"	"Q9P1Y5;Q9P1Y5-2"	"Calmodulin-regulated spectrin-associated protein 3"	"CAMSAP3"	"CAMSAP3"
"CAND1"	"Q86VP6;Q86VP6-2;Q86VP6-3;O75155-2;O75155"	"Cullin-associated NEDD8-dissociated protein 1"	"CAND1"	"CAND1"
"CANT1"	"Q8WVQ1-3;Q8WVQ1;Q8WVQ1-2"	"Soluble calcium-activated nucleotidase 1"	"CANT1"	"CANT1"
"CANX"	"P27824;P27824-2;P27824-3"	"Calnexin"	"CANX"	"CANX"
"CAP1"	"Q01518"	"Adenylyl cyclase-associated protein 1"	"CAP1"	"CAP1"
"CAP2"	"P40123;P40123-2;P40123-3"	"Adenylyl cyclase-associated protein 2"	"CAP2"	"CAP2"
"CAPG"	"P40121;P40121-2"	"Macrophage-capping protein"	"CAPG"	"CAPG"
"CAPN1"	"P07384"	"Calpain-1 catalytic subunit"	"CAPN1"	"CAPN1"
"CAPN13"	"Q6MZZ7;Q6MZZ7-2"	"Calpain-13"	"CAPN13"	"CAPN13"
"CAPN2"	"P17655;P17655-2"	"Calpain-2 catalytic subunit"	"CAPN2"	"CAPN2"
"CAPN7"	"Q9Y6W3"	"Calpain-7"	"CAPN7"	"CAPN7"
"CAPNS1"	"P04632;Q96L46"	"Calpain small subunit 1"	"CAPNS1"	"CAPNS1"
"CAPRIN1"	"Q14444-2;Q14444"	"Caprin-1"	"CAPRIN1"	"CAPRIN1"
"CAPS"	"Q13938;Q13938-3"	"Calcyphosin"	"CAPS"	"CAPS"
"CAPZA1"	"P52907"	"F-actin-capping protein subunit alpha-1"	"CAPZA1"	"CAPZA1"
"CAPZA2"	"P47755;P47755-2"	"F-actin-capping protein subunit alpha-2"	"CAPZA2"	"CAPZA2"
"CAPZB"	"P47756-2;P47756"	"F-actin-capping protein subunit beta"	"CAPZB"	"CAPZB"
"CARD6"	"Q9BX69"	"Caspase recruitment domain-containing protein 6"	"CARD6"	"CARD6"
"CARHSP1"	"Q9Y2V2"	"Calcium-regulated heat stable protein 1"	"CARHSP1"	"CARHSP1"
"CARKD"	"Q8IW45;Q8IW45-2;Q8IW45-4;Q8IW45-3"	"ATP-dependent (S)-NAD(P)H-hydrate dehydratase"	"CARKD"	"CARKD"
"CARM1"	"Q86X55-1;Q86X55;Q86X55-2"	"Histone-arginine methyltransferase CARM1"	"CARM1"	"CARM1"
"CARS"	"P49589-3;P49589-2;P49589"	"Cysteine--tRNA ligase, cytoplasmic"	"CARS"	"CARS"
"CARS2"	"Q9HA77"	"Probable cysteine--tRNA ligase, mitochondrial"	"CARS2"	"CARS2"
"CASC3"	"O15234"	"Protein CASC3"	"CASC3"	"CASC3"
"CASC4"	"Q6P4E1-2;Q6P4E1-5;Q6P4E1;Q6P4E1-4;Q6P4E1-3"	"Protein CASC4"	"CASC4"	"CASC4"
"CASK"	"O14936-3;O14936;O14936-4;O14936-6;O14936-2;O14936-5"	"Peripheral plasma membrane protein CASK"	"CASK"	"CASK"
"CASP1"	"P29466-2;P29466;P29466-3;P29466-4;P29466-5;Q5EG05-2"	"Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10"	"CASP1"	"CASP1"
